ensemble,members,alpha_exact,weight_0,weight_1,weight_2,macro_f1,weighted_f1,pred_count_0,pred_count_1,pred_count_2
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,1.15,1.25,0.7544742974265654,0.7700070754708656,24744,12705,10616
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.05,1.05,0.7544717784611112,0.7711007249347982,25422,12709,9934
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.1,1.15,0.7544709120880132,0.7703157166105665,24907,12718,10440
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.7,1.0,0.9,1.25,0.7544653678912615,0.7702216647289453,25042,12502,10521
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.15,0.95,0.7544647119547303,0.7712246174965895,25480,12793,9792
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.25,1.15,0.7544645088440198,0.7703140971626979,24892,12796,10377
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.15,1.1,0.7544620086788426,0.770666781029037,25142,12769,10154
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.1,1.15,0.7544583730234056,0.7699439294450193,24709,12681,10675
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,0.85,1.2,0.7544489634746538,0.7703117539002563,25088,12491,10486
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.05,1.1,0.7544453468637645,0.7706523045941951,25156,12691,10218
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.7,1.0,0.8,1.25,0.7544450991100916,0.7702187246447303,25072,12447,10546
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.7,1.0,0.8,1.2,0.7544430621446244,0.7704977847092437,25254,12455,10356
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.2,1.05,0.7544403173756308,0.7707752678586716,25248,12775,10042
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.0,0.95,0.7544375850440769,0.7711891732100721,25489,12729,9847
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.25,1.05,0.7544311177303241,0.7702686042813587,24871,12816,10378
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,0.85,1.05,0.7544304905129686,0.7702316851968963,24985,12529,10551
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,0.85,1.2,0.754428143579099,0.7699869302254518,24866,12501,10698
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.05,1.15,0.7544271101669705,0.7699224310178087,24713,12668,10684
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.05,1.25,0.7544260207214896,0.7696015468948206,24546,12658,10861
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.1,1.1,0.7544235440204569,0.7706336049791263,25147,12752,10166
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,0.95,1.0,0.7544234391763611,0.770330241299335,24951,12623,10491
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.2,1.0,0.7544222902766627,0.7712084785899587,25501,12788,9776
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,0.9,1.2,0.7544221788120771,0.7699612487617362,24835,12522,10708
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.8,1.25,0.7544219556205191,0.7700209504636841,24916,12429,10720
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,0.75,1.2,0.7544208370366002,0.7699656048691557,24906,12398,10761
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,0.9,1.0,0.754419159959387,0.7703244535007443,24956,12612,10497
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,0.8,1.1,0.75441844912834,0.7703070227685429,25041,12471,10553
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.85,1.25,0.7544149989693635,0.7700220948392099,24894,12467,10704
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.1,1.05,0.7544121037122645,0.7702778087160173,24902,12728,10435
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.05,1.2,0.7544088029673682,0.7696604345958504,24562,12634,10869
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,0.85,1.0,0.7544080447930194,0.7703199317888139,24957,12594,10514
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.1,1.25,0.7544059152702022,0.7695728120413933,24537,12670,10858
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.0,0.95,0.754403443926298,0.7714881960627785,25693,12751,9621
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.2,0.95,0.7543998884782316,0.77113881116372,25465,12818,9782
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.05,0.95,0.754399396260249,0.771162046107199,25489,12740,9836
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,1.25,1.25,0.7543949766034506,0.7699593426711049,24732,12782,10551
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,1.15,0.95,0.7543946521734642,0.7707337999974262,25225,12790,10050
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,0.75,1.15,0.7543945620314448,0.7705152628315514,25308,12422,10335
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.15,1.25,0.7543890626175305,0.769563264302362,24532,12688,10845
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.8,1.2,0.7543888575416798,0.7703040549720084,25081,12434,10550
