split,model,variant,weight_mode,alpha,active_rows,macro_f1,per_class_f1,pred_counts
actual_prefix,exact_posterior,raw,all,0.05,30211,0.7101357303701809,"{'0': 0.8077078198521174, '1': 0.8376557763556753, '2': 0.48504359490274984}","{'0': 10461, '1': 3438, '2': 3955}"
actual_prefix,exact_posterior,quota,all,0.05,30211,0.7323989073409015,"{'0': 0.8382824363084191, '1': 0.8572, '2': 0.5017142857142857}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,exact_posterior,raw,all,0.5,30211,0.7101357303701809,"{'0': 0.8077078198521174, '1': 0.8376557763556753, '2': 0.48504359490274984}","{'0': 10461, '1': 3438, '2': 3955}"
actual_prefix,exact_posterior,quota,all,0.5,30211,0.7335499337173709,"{'0': 0.8385355154378269, '1': 0.8604, '2': 0.5017142857142857}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,exact_posterior,raw,all,2.0,30211,0.7122930498946385,"{'0': 0.8089978086847637, '1': 0.8428377460964019, '2': 0.48504359490274984}","{'0': 10507, '1': 3392, '2': 3955}"
actual_prefix,exact_posterior,quota,all,2.0,30211,0.7434638096844948,"{'0': 0.8403914290534841, '1': 0.898, '2': 0.492}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,exact_posterior,raw,all,10.0,30211,0.7276563342521424,"{'0': 0.843065693430657, '1': 0.8529056733919641, '2': 0.48699763593380613}","{'0': 11710, '1': 3299, '2': 2845}"
actual_prefix,exact_posterior,quota,all,10.0,30211,0.7046003872512392,"{'0': 0.843344018896575, '1': 0.8056, '2': 0.46485714285714286}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,nb_single,raw,all,0.5,30211,0.26601139984740363,"{'0': 0.7980341995422109, '1': 0.0, '2': 0.0}","{'0': 17854, '1': 0, '2': 0}"
actual_prefix,nb_single,quota,all,0.5,30211,0.645830949568962,"{'0': 0.793149991564029, '1': 0.6972, '2': 0.4471428571428571}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,nb_single,raw,all,5.0,30211,0.26601139984740363,"{'0': 0.7980341995422109, '1': 0.0, '2': 0.0}","{'0': 17854, '1': 0, '2': 0}"
actual_prefix,nb_single,quota,all,5.0,30211,0.645830949568962,"{'0': 0.793149991564029, '1': 0.6972, '2': 0.4471428571428571}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,nb_full,raw,all,0.5,30211,0.7326907615163222,"{'0': 0.8540677688656081, '1': 0.8513920240782543, '2': 0.4926124916051041}","{'0': 12582, '1': 2816, '2': 2456}"
actual_prefix,nb_full,quota,all,0.5,30211,0.7111263708452844,"{'0': 0.8393791125358528, '1': 0.8, '2': 0.494}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,nb_full,raw,all,5.0,30211,0.7326907615163222,"{'0': 0.8540677688656081, '1': 0.8513920240782543, '2': 0.4926124916051041}","{'0': 12582, '1': 2816, '2': 2456}"
actual_prefix,nb_full,quota,all,5.0,30211,0.7111263708452844,"{'0': 0.8393791125358528, '1': 0.8, '2': 0.494}","{'0': 11854, '1': 2500, '2': 3500}"
