split,alpha_meta,w2,variant,macro_f1,per_class_f1,counts
ratio_prefix,0.7000000000000001,1.16,quota,0.7384327156046697,"{'0': 0.8567371052033629, '1': 0.8175287356321839, '2': 0.5410323059784626}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.7000000000000001,1.25,quota,0.7384327156046697,"{'0': 0.8567371052033629, '1': 0.8175287356321839, '2': 0.5410323059784626}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,1.0,0.9,quota,0.7379974411595306,"{'0': 0.8551465576005454, '1': 0.8237547892720306, '2': 0.5350909766060156}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,1.0,1.0,quota,0.7379974411595306,"{'0': 0.8551465576005454, '1': 0.8237547892720306, '2': 0.5350909766060156}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,1.0,1.08,quota,0.7379974411595306,"{'0': 0.8551465576005454, '1': 0.8237547892720306, '2': 0.5350909766060156}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,1.0,1.16,quota,0.7379974411595306,"{'0': 0.8551465576005454, '1': 0.8237547892720306, '2': 0.5350909766060156}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,1.0,1.25,quota,0.7379974411595306,"{'0': 0.8551465576005454, '1': 0.8237547892720306, '2': 0.5350909766060156}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.6000000000000001,0.9,quota,0.7376380011493794,"{'0': 0.8567371052033629, '1': 0.8184865900383141, '2': 0.5376903082064612}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.6000000000000001,1.0,quota,0.7376380011493794,"{'0': 0.8567371052033629, '1': 0.8184865900383141, '2': 0.5376903082064612}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.6000000000000001,1.08,quota,0.7376380011493794,"{'0': 0.8567371052033629, '1': 0.8184865900383141, '2': 0.5376903082064612}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.6000000000000001,1.16,quota,0.7376380011493794,"{'0': 0.8567371052033629, '1': 0.8184865900383141, '2': 0.5376903082064612}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.6000000000000001,1.25,quota,0.7376380011493794,"{'0': 0.8567371052033629, '1': 0.8184865900383141, '2': 0.5376903082064612}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.9,0.9,quota,0.7369086741825891,"{'0': 0.8560554419450125, '1': 0.8117816091954023, '2': 0.5428889714073524}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.9,1.0,quota,0.7369086741825891,"{'0': 0.8560554419450125, '1': 0.8117816091954023, '2': 0.5428889714073524}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.9,1.08,quota,0.7369086741825891,"{'0': 0.8560554419450125, '1': 0.8117816091954023, '2': 0.5428889714073524}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.9,1.16,quota,0.7369086741825891,"{'0': 0.8560554419450125, '1': 0.8117816091954023, '2': 0.5428889714073524}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.9,1.25,quota,0.7369086741825891,"{'0': 0.8560554419450125, '1': 0.8117816091954023, '2': 0.5428889714073524}","{'0': 8802, '1': 2088, '2': 2693}"
actual_prefix,0.6000000000000001,1.25,quota,0.7804385323017345,"{'0': 0.8646870254766323, '1': 0.9152, '2': 0.5614285714285714}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,0.5,1.16,quota,0.773662914668145,"{'0': 0.860131601147292, '1': 0.906, '2': 0.5548571428571428}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,0.4,1.0,quota,0.7727123398169796,"{'0': 0.8597941623080817, '1': 0.9072, '2': 0.5511428571428572}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,1.0,0.9,raw,0.7704172572233174,"{'0': 0.8775677223995417, '1': 0.8609832443380593, '2': 0.5727008049323514}","{'0': 12584, '1': 2931, '2': 2339}"
actual_prefix,0.9,1.08,raw,0.7702306654756841,"{'0': 0.8716205009122574, '1': 0.8608247422680413, '2': 0.5782467532467532}","{'0': 12262, '1': 2932, '2': 2660}"
